NOME_CURSO;Classificação
ADMINISTRAÇÃO;Humanas
ADMINISTRAÇÃO(VOLTA REDONDA);Humanas
ARQUITETURA E URBANISMO;Humanas
ARQUIVOLOGIA;Humanas
ARTES;Humanas
BIBLIOTECONOMIA E DOCUMENTAÇÃO;Humanas
BIOMEDICINA;Humanas
CIÊNCIA DA COMPUTAÇÃO;Exatas
CIÊNCIA DA COMPUTAÇÃO(RIO DAS OSTRAS);Exatas
CIÊNCIAS ATUARIAIS;Humanas
CIÊNCIAS BIOLÓGICAS;Humanas
CIÊNCIAS CONTÁBEIS;Humanas
CIÊNCIAS CONTÁBEIS(VOLTA REDONDA);Humanas
CIÊNCIAS ECONÔMICAS;Humanas
CIÊNCIAS ECONÔMICAS(CAMPOS);Humanas
CIÊNCIAS NATURAIS(PÁDUA);Humanas
CIÊNCIAS SOCIAIS;Humanas
CIÊNCIAS SOCIAIS(CAMPOS);Humanas
CINEMA E AUDIOVISUAL;Humanas
COMUNICAÇÃO SOCIAL;Humanas
DESENHO INDUSTRIAL;Humanas
DIREITO;Humanas
DIREITO ( MACAÉ);Humanas
DIREITO (VOLTA REDONDA);Humanas
EDUCAÇÃO FÍSICA;Humanas
ENFERMAGEM;Humanas
ENFERMAGEM(RIO DAS OSTRAS);Humanas
ENG. DE RECURSOS HÍDRICOS E MEIO AMBIENTE;Exatas
ENGENHARIA AGRÍCOLA E AMBIENTAL;Exatas
ENGENHARIA CIVIL;Exatas
ENGENHARIA DE AGRONEGÓCIOS(VOLTA REDONDA);Exatas
ENGENHARIA DE PRODUÇÃO;Exatas
ENGENHARIA DE PRODUÇÃO(RIO DAS OSTRAS);Exatas
ENGENHARIA DE PRODUÇÃO(V REDONDA);Exatas
ENGENHARIA DE TELECOMUNICAÇÕES;Exatas
ENGENHARIA ELÉTRICA;Exatas
ENGENHARIA MECÂNICA;Exatas
ENGENHARIA MECÂNICA(V REDONDA);Exatas
ENGENHARIA METALÚRGICA(VOLTA REDONDA);Exatas
ENGENHARIA QUÍMICA;Exatas
ESTATÍSTICA;Exatas
ESTUDOS DE MÍDIA;Humanas
FARMÁCIA;Humanas
FILOSOFIA;Humanas
FÍSICA;Exatas
FÍSICA(VOLTA REDONDA);Exatas
GEOGRAFIA;Humanas
GEOGRAFIA ( ANGRA DOS REIS);Humanas
GEOGRAFIA(CAMPOS);Humanas
GRADUAÇÃO TECNOLÓGICA EM PROCESSOS GERENCIAIS;Humanas
HISTÓRIA;Humanas
HISTÓRIA (CAMPOS);Humanas
LETRAS;Humanas
MATEMÁTICA;Exatas
MATEMÁTICA -PÁDUA;Exatas
MATEMÁTICA(VOLTA REDONDA);Exatas
MEDICINA;Humanas
MEDICINA VETERINÁRIA;Humanas
NUTRIÇÃO;Humanas
ODONTOLOGIA;Humanas
ODONTOLOGIA(NOVA FRIBURGO);Humanas
PEDAGOGIA;Humanas
PEDAGOGIA (ANGRA DOS REIS);Humanas
PEDAGOGIA(PÁDUA);Humanas
PRODUÇÃO CULTURAL;Humanas
PRODUÇÃO CULTURAL(RIO DAS OSTRAS);Humanas
PSICOLOGIA;Humanas
PSICOLOGIA ( VOLTA REDONDA);Humanas
PSICOLOGIA(CAMPOS);Humanas
PSICOLOGIA(RIO DAS OSTRAS);Humanas
QUÍMICA;Exatas
QUÍMICA INDUSTRIAL;Exatas
QUÍMICA(VOLTA REDONDA);Exatas
RELAÇÕES INTERNACIONAIS;Humanas
SEGURANÇA PÚBLICA;Humanas
SERVIÇO SOCIAL;Humanas
SERVIÇO SOCIAL (CAMPOS);Humanas
SERVIÇO SOCIAL(RIO DAS OSTRAS);Humanas
SISTEMAS DE INFORMAÇÃO;Exatas
SOCIOLOGIA;Humanas
TURISMO;Humanas
