NOME_CURSO;Classificação
ADMINISTRAÇÃO;Ciências Sociais Aplicadas
ADMINISTRAÇÃO(VOLTA REDONDA);Ciências Sociais Aplicadas
ARQUITETURA E URBANISMO;Ciências Sociais Aplicadas
ARQUIVOLOGIA;Ciências Sociais Aplicadas
ARTES;Letras e Artes
BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
BIOMEDICINA;Ciências Biológicas e da Saúde
CIÊNCIA DA COMPUTAÇÃO;Ciências Exatas e da Terra
CIÊNCIA DA COMPUTAÇÃO(RIO DAS OSTRAS);Ciências Exatas e da Terra
CIÊNCIAS ATUARIAIS;Ciências Sociais Aplicadas
CIÊNCIAS BIOLÓGICAS;Ciências Biológicas e da Saúde
CIÊNCIAS CONTÁBEIS;Ciências Sociais Aplicadas
CIÊNCIAS CONTÁBEIS(VOLTA REDONDA);Ciências Sociais Aplicadas
CIÊNCIAS ECONÔMICAS;Ciências Sociais Aplicadas
CIÊNCIAS ECONÔMICAS(CAMPOS);Ciências Sociais Aplicadas
CIÊNCIAS NATURAIS(PÁDUA);Ciências Exatas e da Terra
CIÊNCIAS SOCIAIS;Ciências Humanas
CIÊNCIAS SOCIAIS(CAMPOS);Ciências Humanas
CINEMA E AUDIOVISUAL;Cinema e Audiovisual
COMUNICAÇÃO SOCIAL;Ciências Sociais Aplicadas
DESENHO INDUSTRIAL;Ciências Sociais Aplicadas
DIREITO;Ciências Sociais Aplicadas
DIREITO ( MACAÉ);Ciências Sociais Aplicadas
DIREITO (VOLTA REDONDA);Ciências Sociais Aplicadas
EDUCAÇÃO FÍSICA;Ciências Biológicas e da Saúde
ENFERMAGEM;Ciências Biológicas e da Saúde
ENFERMAGEM(RIO DAS OSTRAS);Ciências Biológicas e da Saúde
ENG. DE RECURSOS HÍDRICOS E MEIO AMBIENTE;Engenharias
ENGENHARIA AGRÍCOLA E AMBIENTAL;Engenharias
ENGENHARIA CIVIL;Engenharias
ENGENHARIA DE AGRONEGÓCIOS(VOLTA REDONDA);Engenharias
ENGENHARIA DE PRODUÇÃO;Engenharias
ENGENHARIA DE PRODUÇÃO(RIO DAS OSTRAS);Engenharias
ENGENHARIA DE PRODUÇÃO(V REDONDA);Engenharias
ENGENHARIA DE TELECOMUNICAÇÕES;Engenharias
ENGENHARIA ELÉTRICA;Engenharias
ENGENHARIA MECÂNICA;Engenharias
ENGENHARIA MECÂNICA(V REDONDA);Engenharias
ENGENHARIA METALÚRGICA(VOLTA REDONDA);Engenharias
ENGENHARIA QUÍMICA;Engenharias
ESTATÍSTICA;Ciências Exatas e da Terra
ESTUDOS DE MÍDIA;Ciências Sociais Aplicadas
FARMÁCIA;Farmácia
FILOSOFIA;Ciências Humanas
FÍSICA;Ciências Exatas e da Terra
FÍSICA(VOLTA REDONDA);Ciências Exatas e da Terra
GEOGRAFIA;Ciências Humanas
GEOGRAFIA ( ANGRA DOS REIS);Ciências Humanas
GEOGRAFIA(CAMPOS);Ciências Humanas
GRADUAÇÃO TECNOLÓGICA EM PROCESSOS GERENCIAIS;Ciências Sociais Aplicadas
HISTÓRIA;Ciências Humanas
HISTÓRIA (CAMPOS);Ciências Humanas
LETRAS;Letras e Artes
MATEMÁTICA;Ciências Exatas e da Terra
MATEMÁTICA -PÁDUA;Ciências Exatas e da Terra
MATEMÁTICA(VOLTA REDONDA);Ciências Exatas e da Terra
MEDICINA;Ciências Biológicas e da Saúde
MEDICINA VETERINÁRIA;Ciências Biológicas e da Saúde
NUTRIÇÃO;Ciências Biológicas e da Saúde
ODONTOLOGIA;Ciências Biológicas e da Saúde
ODONTOLOGIA(NOVA FRIBURGO);Ciências Biológicas e da Saúde
PEDAGOGIA;Ciências Humanas
PEDAGOGIA (ANGRA DOS REIS);Ciências Humanas
PEDAGOGIA(PÁDUA);Ciências Humanas
PRODUÇÃO CULTURAL;Ciências Sociais Aplicadas
PRODUÇÃO CULTURAL(RIO DAS OSTRAS);Ciências Sociais Aplicadas
PSICOLOGIA;Ciências Humanas
PSICOLOGIA ( VOLTA REDONDA);Ciências Humanas
PSICOLOGIA(CAMPOS);Ciências Humanas
PSICOLOGIA(RIO DAS OSTRAS);Ciências Humanas
QUÍMICA;Ciências Exatas e da Terra
QUÍMICA INDUSTRIAL;Ciências Exatas e da Terra
QUÍMICA(VOLTA REDONDA);Ciências Exatas e da Terra
RELAÇÕES INTERNACIONAIS;Ciências Humanas
SEGURANÇA PÚBLICA;Ciências Sociais Aplicadas
SERVIÇO SOCIAL;Ciências Sociais Aplicadas
SERVIÇO SOCIAL (CAMPOS);Ciências Sociais Aplicadas
SERVIÇO SOCIAL(RIO DAS OSTRAS);Ciências Sociais Aplicadas
SISTEMAS DE INFORMAÇÃO;Ciências Exatas e da Terra
SOCIOLOGIA;Ciências Humanas
TURISMO;Ciências Sociais Aplicadas
