;CODALUNO;ACAOAFIRMATIVA;ENEMLINGUAGEM;ENEMHUMANAS;ENEMNATURAIS;ENEMMATEMATICA;ENEMREDACAO;CURSO;CODTURNOINGRESSO;CODTURNOATUAL;TURNOATUAL;CR;DISCIPLINA;NOTADISC;RESULTDISC;PERIODODISC;ANOINGRESSO;SEMESTREINGRESSO;ANODESVINCULACAO;SEMESTREDESVINCULACAO;IDADE;COR;BAIRRO;CEP;CIDADE;MOBILIDADE;CHCURSADA;ESTADOCIVIL;TRANCAMENTOS;TEMPOPERMANENCIA;SEXO;STATUSFORMACAO;NOME_CURSO;AREACURSO
0;112001032;AC;485.00;593.30;521.50;633.10;840.00;1;8;8;INTEGRAL;6.7;GCI00124;75;1;20121;2012;1;2015;2;42;BRANCA;CENTRO;24030060;NITERÓI;0;2580;SOLTEIRO;0;4;M;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
1;112001035;AC;632.10;653.40;564.20;662.40;640.00;1;8;8;INTEGRAL;1.36;GLC00187;21;0;20121;2012;1;2012;2;39;NÃO DECLARADO;FLAMENGO;22230001;RIO DE JANEIRO;0;60;SOLTEIRO;1;1;F;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
2;112001037;AC;597.90;608.30;583.30;703.20;660.00;1;8;8;INTEGRAL;1.3;GCI00114;0;0;20121;2012;1;2012;2;23;NÃO DECLARADO;MALHAPÃO;26187501;BELFORD ROXO;0;60;SOLTEIRO;0;1;F;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
3;112001039;AC;598.70;555.80;565.90;612.30;700.00;1;8;8;INTEGRAL;4.4;GCI00146;0;0;20152;2012;1;2017;1;25;NÃO DECLARADO;VILA DA PENHA;21211740;RIO DE JANEIRO;0;1280;SOLTEIRO;0;6;M;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
4;112001048;AC;635.40;613.40;575.30;679.90;500.00;1;8;8;INTEGRAL;0;GCI00114;0;0;20121;2012;1;2012;1;37;BRANCA;CENTRO;24030211;NITERÓI;0;0;SOLTEIRO;0;1;M;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
5;113001005;AC;633.9;664.8;596.8;692.3;780.0;1;8;8;INTEGRAL;2.5;GCI00114;0;0;20131;2013;1;2016;1;23;NÃO DECLARADO;BRÁS DE PINA;;RIO DE JANEIRO;0;60;SOLTEIRO;0;4;F;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
6;113001012;AC;528.3;661.7;535.9;677.6;820.0;1;8;8;INTEGRAL;0.76;GCI00114;0;0;20131;2013;1;2013;1;23;NÃO DECLARADO;TRINDADE;;SÃO GONÇALO;0;0;SOLTEIRO;0;1;M;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
7;113001016;AC;786.0;683.3;542.8;593.9;580.0;1;8;8;INTEGRAL;0;GFL00024;0;0;20131;2013;1;2013;1;27;NÃO DECLARADO;DENDÊ;;RIO DE JANEIRO;0;0;SOLTEIRO;0;1;F;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
8;113001017;AC;634.9;698.7;557.3;649.2;620.0;1;8;8;INTEGRAL;6.9;GCI00146;94;1;20172;2013;1;2018;1;47;BRANCA;INGÁ;;NITERÓI;0;1880;SOLTEIRO;0;6;F;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
9;113001018;AC;607.4;684.3;607.2;619.7;780.0;1;8;8;INTEGRAL;6.6;GFL00024;100;1;20131;2013;1;2017;2;24;NÃO DECLARADO;CENTRO;;NITERÓI;0;900;SOLTEIRO;0;5;F;EVADIDO;BIBLIOTECONOMIA E DOCUMENTAÇÃO;Ciências Sociais Aplicadas
